ordinal,bookmark_id,status_url,author_name,handle,language,is_reply,hashtags,urls,media_count,text
"11","2048247633521565765","https://x.com/VincentLogic/status/2048247633521565765","Vincent Logic | 只上干货","VincentLogic","zxx","false","","http://x.com/i/article/2048222213384613889","0","https://t.co/qU4Y3QzOsD"
"12","2047862898417127645","https://x.com/RDimpas/status/2047862898417127645","加密小匠人","RDimpas","zh","false","赚钱认知 | 成长 | 感悟","","1","如何判断一个人会不会有大成就？能不能赚到大钱？ 赚到大钱的四个优秀品质，你具备几个？#赚钱认知 #成长 #感悟 https://t.co/4n9dHKAYJZ"
"13","2047893847985045702","https://x.com/InfiCheesy/status/2047893847985045702","InfiCheesy無限芝士","InfiCheesy","zxx","false","","http://x.com/i/article/2047891996698918912","0","https://t.co/rliSrhvAS2"
"14","2047913307466813537","https://x.com/WSInsights/status/2047913307466813537","华尔街财经 | WSInsights 【Zenzhe 】","WSInsights","zxx","false","","http://x.com/i/article/2047912558384787456","0","https://t.co/dozF2OzmSI"
"15","2047685594021535898","https://x.com/JiaweiShen2568/status/2047685594021535898","渡边君","JiaweiShen2568","zxx","false","","http://x.com/i/article/2047667480261500928","0","https://t.co/yUh68GDnzC"
"16","2047673446910542214","https://x.com/Alex_perception/status/2047673446910542214","Alex_感知","Alex_perception","zxx","false","","http://x.com/i/article/2047669106611277824","0","https://t.co/nIk7IUftr6"
"17","2047940242624385156","https://x.com/SovereignIntern/status/2047940242624385156","Winter Capital","SovereignIntern","zh","false","","","0","本报告基于孙宇晨《财富自由革命之路》全157集内容，经过系统性提炼与结构化重组而成。全文共十三章，涵盖财富自由哲学、货币与杠杆、婚姻观、房产观、原始积累、不确定性、互联网革命、比特币与区块链、医疗健康、家庭边界、财富流向以及个人三观重塑等主题。堪称年轻人版《毛选》，20多岁年轻人有这个认知实在让人震撼！链接: https://t.co/915D3aLAmD"
"18","2047857145962721658","https://x.com/WSInsights/status/2047857145962721658","华尔街财经 | WSInsights 【Zenzhe 】","WSInsights","zh","false","","","1","【清华大学肖星】如何从财务视角分析公司和股票

在混沌听了肖星老师讲财务，
真是给我这个老股民打开了天窗。

以前我眼里只有K线和PE（市盈率），
听完才明白，
看公司得像老中医把脉，
不能光看脸（利润表），
得摸清它的气血筋骨（资产负债表）和血液循环（现金流）。

肖老师一句话让我记到现在：
市场买的不是过去的利润，
是未来的“自由现金流”。

啥意思？
就是公司挣的辛苦钱，
刨掉必须再投进去维持生意的那部分，
最后能自由揣进兜里的真金白银。

利润能“化妆”，现金流不好作假。
怪不得亚马逊、特斯拉当年亏成那样，
股价还能飞天，
市场是提前为它们未来强大
的“造血”能力买单了。

这让我学会了，
看财报先扒拉现金流量表，
净利润再高，
要是经营现金流对不上，
就得心里一紧。

再看资产负债表，
以前觉得是天书，
现在觉得是公司的“家底清单”和“体检报告”。

同样是巨头，
比亚迪和腾讯摆在一起看，
太有意思了。
比亚迪75%的家当是工厂、设备、存货，
一看就是“重资产”的实干派，
挣的是辛苦钱，但根基扎实。

腾讯呢，
大部分是投资和现金，
轻装上阵，灵活得很。

这直接决定了它们的玩法和抗风险能力。
肖老师点出的“周转率”，
更是效率的照妖镜。

重庆啤酒的资产一年能转1.3圈，
而有些行业（比如环保）可能就0.1圈。
这意味着前者用同样的本钱，
生意能做更多轮，
成长潜力和后劲完全不一样。

演讲里那些暴雷案例，
更是让我背后发凉。
什么货币资金90%被冻结（比如众泰），
应收账款变成坏账（比如上海电气），
存货说没就没（比如獐子岛）……

这些炸弹都藏在资产负债表里，
利润表当时可能还挺好看。
这哪是报表，简直是风险预告片。

现在我懂了，
股票值钱的核心，
是公司有没有又宽又深的“护城河”——
别人模仿不了、偷不走的竞争优势。

市场愿意给一些不赚钱的公司高估值，
赌的就是这条未来的“护城河”。
这让我选股时，
不再只看下个季度业绩会不会爆，
而是会多想想：
五年后，
它的生意还能不能稳如泰山？
别人能轻易抢走它的饭碗吗？

以前觉得财务是专家搞的复杂玩意儿，
离我太远。
听完肖星老师的演讲，
我觉得它是一套帮我“排雷”和
“寻宝”的实用工具。

它不保证我马上赚钱，
但能让我避开很多坑，
看清一个公司到底是在踏实盖楼，
还是在玩击鼓传花的游戏。
心里有这份明白，
在股市的涨跌里，
总算没那么慌了。"
"19","2047922918127218935","https://x.com/shadouyoua/status/2047922918127218935","bbshare","shadouyoua","zxx","false","","http://x.com/i/article/2047920226625548288","0","https://t.co/DzvkMr9qfL"
"20","2047858890390568993","https://x.com/baozong_facai/status/2047858890390568993","宝总的财富指南","baozong_facai","zh","false","","","0","我不明白为什么更多人不用Google Gemini进行股票研究。

不是为了获取建议。
不是为了预测。

而是为了在冒险前理性思考。

这是我实际使用的10个详细提示 👇"
"21","2047598922042863934","https://x.com/LuBtc888/status/2047598922042863934","0x鸣人","LuBtc888","zh","false","","","1","投资与交易者必看：《金融的本质》

该课堂由前美联储主席伯南克亲授！

全四讲

今天先花一小时听完第一讲《美联储的诞生与原则》

余下三讲关注我，将会定期更新。 https://t.co/Pt6KI5l3YM"
"22","2047661479021948966","https://x.com/430Yang/status/2047661479021948966","杨高能","430Yang","zh","false","","","1","睡多久，死亡率最低？你想活久一点吗？🩸
别靠感觉瞎猜！
JAMA东亚大样本研究直接画出了残酷的生死线：【7小时】附近最稳！

睡眠根本不是休息，而是你辛苦一天后唯一的“系统级修复窗口”。
这笔账从来不当场结算，而是慢慢抽干你。

⚠️ 长期 ≤5小时：是在透支硬扛。 
⚠️ 长期 ≥10小时：最危险！全因死亡风险狂飙（尤其是女性），那根本不是养生，而是身体在崩溃边缘被迫的“延长关机”！
记住一个铁律：如果你早上醒来还是累、脑子发木、情绪发紧，说明你昨晚彻底“修复失败”。

睡眠不是生活方式，它是你的寿命配额！
你可以偶尔透支，但把透支当日常，你就是在把自己往风险区里推。
想活久一点，今晚就把自己拉回7小时的生存锚点！
去执行！"
"23","2047788933669597443","https://x.com/0xluffy_eth/status/2047788933669597443","路飞 🏴‍☠️ AI 研究员🧐","0xluffy_eth","zh","false","","","1","用了6个月NotebookLM，我敢说它最大程度革新了我的工作流程。

但前提是我掌握了这10个提示词。

这套系统能在1小时内把200页文档转化为清晰答案。 https://t.co/9VhscgHv8d"
"24","2047687709339300010","https://x.com/HenryinvestX/status/2047687709339300010","Henry 鸿锐","HenryinvestX","zxx","false","","http://x.com/i/article/2047680545132519424","0","https://t.co/ZFKYIIUBbx"
"25","2047655185330405415","https://x.com/fhwofjow51260/status/2047655185330405415","娜美知识库","fhwofjow51260","zh","false","","","1","强烈建议总觉得越休息越累的人，
认真看看这条内容。
休息这件事，
很多人一直停留在“暂停工作”。

但真正高质量的休息，
是能让身体和注意力一起恢复的。
休息对了，
效率会上来，
情绪会稳定，
做事也更顺。

如果你最近总是疲惫、
分心、
恢复慢，
这条值得存下。 https://t.co/ieau9lUiQO"
"26","2047539912183050603","https://x.com/longdechen12/status/2047539912183050603","观自","longdechen12","zh","false","","","0","@ai_xiaomu 木哥这篇《搞关系》我直接看完三遍，太扎心了！

以前我总觉得“只要把活干好就行”，结果发现好机会从来都不是天上掉的。

而是聊天、帮忙、反馈里慢慢长出来的。

木哥把“让自己先变成机会”+“少索取多给价值”+“真诚夸奖”讲得特别透彻。

不是教你油滑，是教你怎么把人做好。"
"27","2047538701996281890","https://x.com/Nicole_yang88/status/2047538701996281890","泥伏雷闯关记","Nicole_yang88","zh","false","","","1","于东来老哥的早期内部会议，分享生意经。
于东来小学学历，初中辍学，但是人家懂常识，天生的做生意的料。 https://t.co/zoJxBhUMZv"
"28","2045485074523775376","https://x.com/chaosflutt28952/status/2045485074523775376","chaosflutter","chaosflutt28952","zh","false","","https://github.com/claude-code-best/claude-code","0","之前通过 npm 方式安装的 Claude Code，今天突然无法使用了，估计已经不支持 NPM 方式了。然后找到了这个项目 https://t.co/6jW7SF7Q8T，应该是之前 Claude Code 源码泄露后逆向还原的项目。

体验和 Claude Code 没什么区别， 很棒。如果你也是搭配国内 Coding Plan 使用，可以考虑作为替代方案。"
"29","2047114916495061249","https://x.com/Huanusa/status/2047114916495061249","Huan","Huanusa","zh","false","","","1","黄仁勋剑桥大学演讲：33年创业精华，3分钟讲透！

站在剑桥大学领霍金奖的讲台上，黄仁勋没有讲高深的AI技术，
而是用最简洁、最狠的语言，把创业、成长、AI时代生存法则讲得淋漓尽致。

在AI把“聪明”变得越来越不值钱的今天，
真正拉开差距的，是底层认知和行动力。

这可能是2026年最值得花费3分钟反复听的一场演讲。"
"30","2046954385180327951","https://x.com/ReyJudgementOS/status/2046954385180327951","Rey｜判断位 x 英语自由","ReyJudgementOS","zh","false","","","0","如果一个孩子从高中开始：

听 Shane Parrish 和 OpenAI 总裁的对话

——

他接触到的，不只是英语  

是一家开创AI、正在改变世界的公司  
在72小时内的真实决策与权力博弈  

——

不是课本里的知识  
是真实世界的博弈、误判、背叛、反转👇
CEO被突然解职
董事会、高管团队和员工分裂  
与微软的关键合作及巧妙地摆脱依赖
AI竞赛背后的国家意志与资本  

——

这些内容的价值，不在信息  

而在于它让孩子开始理解真实世界👇

1. 世界是如何被少数人  
在关键时刻决定走向的

2. 什么样的项目有指数型增长空间

3. CEO/总裁最重要的工作是什么
（发现和实现指数型增长）

4.董事会的权力和运作机制

5. 商业合同的严肃性和不完备性

——

英语只是入口  
提供“看见世界”的能力  

决定上限的，是另一层：
是否能理解这些结构，并形成判断"
"31","2047159634306412640","https://x.com/liu10102525/status/2047159634306412640","nene","liu10102525","zxx","false","","http://x.com/i/article/2047158576997859329","0","https://t.co/6O4qUrybhm"
"32","2038909871765258597","https://x.com/HenryinvestX/status/2038909871765258597","Henry 鸿锐","HenryinvestX","zxx","false","","http://x.com/i/article/2038878430088077312","0","https://t.co/kIuscJlysE"
"33","2046942171316814191","https://x.com/XXY177/status/2046942171316814191","夏雪宜","XXY177","zh","false","","","1","值得学习，段郎集锦。 https://t.co/GS7Kh5huIM"
"34","2046900555164123345","https://x.com/Blind___Gamer/status/2046900555164123345","瞎玩菌","Blind___Gamer","zh","false","","","1","最全网上配镜教程 https://t.co/HEJMIBrk8d"
"35","2046859047026954536","https://x.com/LuBtc888/status/2046859047026954536","0x鸣人","LuBtc888","zh","false","","","1","建议兄弟们都去看这部Netflix高分纪录片《聪明生活经济学》，看完彻底刷新金钱认知。

分享片中核心的省钱与理财思路：
想要靠近财务自由，第一步就是重塑自己的金钱观。

1. 精简开支
复盘日常账单，揪出外卖、冲动购物、高价课程这类不必要的大额花销，找准支出痛点。

2. 做好资产规划
收入高低，从来不等同于财富多少。无论薪资多少，都要做好资金分类管理。

3. 拒绝即时享乐
别被短期快感裹挟，更不要借贷超前消费。单独开设梦想储蓄账户，按需理性消费。

4. 树立家庭财富认知
家庭的消费与理财观念，会潜移默化影响下一代的金钱思维。

5. 理性按需消费
下单前衡量使用频次，低频闲置好物再便宜也没必要入手。

片中扎心观点：一味死存钱，只会被通胀慢慢稀释财富。

不妨问问自己：五年后，你想要什么样的生活？
后续会持续整理优质财经纪录片，看完思维和认知都会全面升级。

分享11部富人思维必看纪录片，普通人跟着学搞钱：
1.《隐形亿万富翁》
顶级富豪从零挑战，仅靠100美元和一辆旧车，三月打造百万体量公司，看懂目标感与执行力的重要性。
2.《金钱与我》
专业理财指导日常财务问题，涵盖存钱、置业、养老等实用省钱方法。
3.《富哥哥穷弟弟》
剖析原生观念与认知差距，看懂同龄人拉开阶层的核心原因。
4.《金钱通解》
拆解各类金融骗局、消费套路，守住自己的钱包。
5.《成为沃伦巴菲特》
抛开投资光环，深度了解股神的自律逻辑、财富思维与长期主义。
6.《无节制消费的元凶》
揭露商家营销套路，打破冲动消费，快速养成存钱习惯。
7.《超级顾客》
拆解消费智商税，识破营销噱头，掌握实用省钱购物思路。
8.《十分钟速成课：经济学》
通俗易懂的经济学科普，适合零基础快速入门。
9.《致富之道》
走访全球顶尖富豪，轻松了解不同圈层的赚钱逻辑。
10.《美国商业大亨传奇》
讲述五位行业巨头的崛起历程，拓宽商业格局与眼界。
11.《为什么贫穷》
直面现实社会差距，看清贫穷背后的深层问题与生存规则。"
"36","2046741988163113290","https://x.com/VincentLogic/status/2046741988163113290","Vincent Logic | 只上干货","VincentLogic","zh","false","","","1","远离身边这4种人，他们骨子里很坏！ https://t.co/uTCexhUyS7"
"37","2046501034340892932","https://x.com/wshuyi/status/2046501034340892932","Wang Shuyi","wshuyi","zh","false","","","1","如何用 Agent Skill 赋能你的教与学？ https://t.co/k7tiu0oWPj"
"38","2046467416360968513","https://x.com/cnfinancewatch/status/2046467416360968513","华尔街观察 Xtrader","cnfinancewatch","zh","false","","","0","孙宇晨的确有见识：

过去150年的所有可投资资产中，标普500指数的风险调整后收益排名第一；任何时点买入并持有20年，正收益概率为100%但全球范围内，能连续持有标普500超过10年的个人投资者占比很少。这是系统的必然。标普500作为人类文明迄今为止最接近""完美""的投资工具，其收益机制从设计之初，就与现代人类的认知结构、社会制度和激励体系存在根本性的、不可调和的矛盾。它不是在筛选投资者，它是在淘汰所有被现代文明成功驯化的人 先确立基准：标普500的完美性，是一个数学结论所有关于""有没有比标普500更好的投资""的争论，本质上都是对""投资""这个概念的误解。投资的核心定义，是在可接受的风险水平下，获得最高的确定性长期收益按照这个定义，标普500的最优性，建立在三个不可证伪的底层公理之上： 公理1：它是全球生产效率的代理变量标普500不是500只股票的集合，它是全球资本主义核心生产力的证券化表达。其成分股贡献了美国70%以上的上市公司市值，80%以上的净利润，以及全球超过40%的研发投入。这些公司的盈利增长，不是来自于运气或炒作，而是来自于人类劳动生产率的持续提升。只要技术进步没有停止，只要分工协作还在深化，只要全球市场还在扩张，标普500的长期盈利增长就是一个必然结果公理2：它拥有唯一自洽的永久优胜劣汰系统主动投资的所有缺陷，本质上都是人的缺陷。而标普500的指数规则，彻底消除了人的因素。它以客观的市值规模和流动性作为唯一筛选标准，不掺杂任何主观判断。它每季度自动再平衡，每年定期调整成分股，无差别地剔除衰退者，纳入崛起者。它没有管理费损耗（目前最低费率已至0.03%），没有交易摩擦，没有风格漂移，没有道德风险。没有任何一个基金经理、任何一个投资团队，能够在无限长的时间维度上，比这个冰冷、无情、绝对客观的系统做得更好。这不是能力问题，这是熵增定律的必然结果 公理3：它的风险是所有大类资产中最低的大多数人对风险的理解是完全错误的。风险不是短期波动，而是永久损失的概率。标普500，历史上最大回撤为86%（1929-1932年），但用了25年时间完全收复失地；所有超过50%的回撤，都在10年内创出新高；任何20年周期，没有出现过永久损失。从永久损失的角度看，标普500是这个星球上最安全的资产，没有之一如果标普500的完美性是一个数学结论，那么为什么几乎所有人都在主动拒绝它？答案是：标普500的收益分布特征，与人类大脑的决策机制、现代社会的激励结构，存在着根本性的不兼容。这种不兼容，不是可以通过""学习""或""锻炼""克服的弱点，而是写在我们基因里和社会契约里的底层代码 第一层不兼容：人类的大脑是为线性世界设计的。我们天然认为，付出多少努力，就应该得到多少回报；投入多少时间，就应该获得多少收益但标普500的收益分布，是极端的幂律分布，而非正态分布。99.6%的交易日，对长期收益几乎没有任何贡献。所有的财富，都是在0.4%的时间里，一次性创造出来的。我们的多巴胺系统会直接判定这个行为是无效的，并驱使我们去寻找其他能够提供即时反馈的活动。这就是为什么绝大多数人会在牛市末期追高，在熊市底部割肉。不是因为他们贪婪或恐惧，而是因为他们的大脑，根本无法识别那种""100次等待换1次回报""的模式。 第二层不兼容：人类的认知系统，本质上是一个贝叶斯推理机。我们不断根据新的信息，更新我们对世界的信念。这个机制在大多数情况下非常有效，但在长周期投资中，却是致命的。贝叶斯更新的核心是：最近的信息，权重最高。当市场下跌30%时，你每天接收到的所有信息（新闻等）都在告诉你""市场会继续下跌""。你的大脑会根据这些最新信息，自动更新你的信念，得出""现在卖出是正确的""结论。当市场上涨100%时，你每天接收到的所有信息，都在告诉你""市场会继续上涨""。你的大脑同样会自动更新你的信念，得出""现在买入是正确的""结论。而标普500的长期趋势，是由几十年尺度的基本面决定的。短期的价格波动，90%以上都是噪音，对长期收益没有任何预测能力。这就造成了一个荒谬的局面：你的大脑越是理性，越是善于根据新信息做出判断，你就越容易被短期噪音误导，从而做出错误的决策。真正的长期投资者，需要具备一种反贝叶斯的能力：能够忽略所有短期信息，坚持一个几十年不变的信念。而这种能力，对于绝大多数人来说，是反智的，甚至是反人类的 第三层不兼容：现代社会的所有制度，都是为了最大化短期效率而设计的（教育制度，雇佣制度，金融制度，社会制度）整个社会的时间贴现率，是按年计算的。任何超过10年的计划，都会被认为是不切实际的。而标普500的有效时间单位，是100年。"
"39","2046189786218533284","https://x.com/xiaojietongxue/status/2046189786218533284","肖师傅","xiaojietongxue","zh","false","","","1","🎉视觉艺术，你不需要懂得的，在制作视频和图片时可以用得上，而且学会了挣钱就是指数级暴涨！ https://t.co/vrxSzOiNVU"
"40","2046213279073395022","https://x.com/WSInsights/status/2046213279073395022","华尔街财经 | WSInsights 【Zenzhe 】","WSInsights","zh","false","","","1","乔布斯经典访谈：
为什么苹果可以领先业界10年？
这个视频是首发，
据说也是在乔布斯创业车库中发现的
早期乔布斯的理念已经引领全球🌏 https://t.co/PyYdpmD5VG"
"41","2046358520069578885","https://x.com/Kenntnis22/status/2046358520069578885","Iggie🚁","Kenntnis22","zh","false","","","1","很多成年人心智完全不成熟，不会好好讲话，难怪被骂成巨婴。

心智不成熟的人会怎样讲话❓下面总结得蛮准确的，遇到这种人，不要跟它耗，也不要跟自己内耗，迅速摆脱纠缠撤离现场才是上上策。 https://t.co/xFf8QC5w19"
"42","2045749485570257045","https://x.com/LuBtc888/status/2045749485570257045","0x鸣人","LuBtc888","zh","false","","","1","必看！这里黄仁勋一个极其宝贵的采访片段。

女记者提问了一个很犀利的问题：你这辈子见过的最聪明的人是谁？以及他认为未来十年将由谁执政？

他给出的答案超乎了所有人的想象！ https://t.co/460QxPrzTV"
